title,experience,company_name,when_scraped,employment_type,key_skills,salary_max,salary_min
Аналитик данных,"[1, 3]",Rubbles,15-01-2024 06:19:44,"Полная занятость, полный день","['Python', 'SQL', 'Data Analysis', 'Аналитические исследования', 'Математическая статистика', 'Сбор и анализ информации', 'Анализ данных', 'Математический анализ', 'Базы данных', 'Big Data']",220000.0,
Продуктовый аналитик (удаленно),"[1, 3]",Группа компаний МЕДСИ,15-01-2024 06:19:44,"Полная занятость, полный день","['Статистический анализ', 'SQL', 'MS Excel']",200000.0,140000.0
Стажер продуктовый аналитик,[0],Samokat.tech,15-01-2024 06:19:44,"Стажировка, удаленная работа","['SQL', 'Python']",,
QA-Инженер,"[1, 3]",Angara Security,15-01-2024 06:19:44,"Полная занятость, полный день",[],,
Инженер по тестированию / QA engineer,"[1, 3]",AdCombo.com,15-01-2024 06:19:44,"Полная занятость, удаленная работа",[],,
Руководитель команды в VK,"[3, 6]","VK, ВКонтакте",15-01-2024 06:19:44,"Полная занятость, полный день","['Python', 'Golang', 'Управление командой', 'Teamleading', 'Kafka', 'PostgreSQL']",,
Системный администратор,"[1, 3]",ООО Лаборатория Наносемантика,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['Настройка ПК', 'TCP/IP', 'Настройка ПО', 'Настройка сетевых подключений', 'SQL', 'Debian', 'Linux']",230000.0,170000.0
Data Engineering Intern / Стажер дата-инженер,[0],"«Procter & Gamble», Студент",15-01-2024 06:19:44,"Стажировка, полный день","['Python', 'Английский\xa0— B2 — Средне-продвинутый']",,90000.0
Начинающий аналитик / тестировщик,[0],Межрегиональное Управление Федерального Казначейства по Централизованной Обработке Данных,15-01-2024 06:19:44,"Полная занятость, полный день","['Деловая переписка', 'внимательность', 'Грамотная речь', 'Системное мышление', 'Работа с большим объемом информации', 'Деловая коммуникация', 'Работа с базами данных', 'Английский\xa0— A1 — Начальный']",,50000.0
Стажер/разработчик Python,[0],SkyHost,15-01-2024 06:19:44,"Стажировка, удаленная работа","['Python', 'Linux']",,
Игровой Аналитик / Game Analyst,"[3, 6]",Cookies.Games,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['Python', 'SQL', 'Аналитика', 'Сбор и анализ информации', 'Анализ данных']",360000.0,270000.0
Специалист-аналитик,[0],Совкомбанк Страхование,15-01-2024 06:19:44,"Полная занятость, полный день","['Python', 'VBA', 'pandas', 'numpy', 'datetime', 'openpyxl', 'nltk']",90000.0,
Программист-разработчик,[0],АО НПК Атроник,15-01-2024 06:19:44,"Полная занятость, полный день",[],120000.0,100000.0
Аналитик данных,"[1, 3]",Домклик,15-01-2024 06:19:44,"Полная занятость, полный день","['SQL', 'Grafana', 'MS Excel', 'PostgreSQL', 'Бизнес-анализ', 'Статистический анализ', 'PowerBI', 'Tableau', 'QlikView', 'ClickHouse']",,
Тестировщик/QA,"[1, 3]",ООО Цитадель,15-01-2024 06:19:44,"Полная занятость, полный день","['Linux', 'Тестирование']",,
Аналитик,"[3, 6]",Аналитический центр при Правительстве Российской Федерации,15-01-2024 06:19:44,"Полная занятость, полный день","['MS PowerPoint', 'MS Excel', 'Аналитическое мышление', 'Сбор и анализ информации', 'Python']",,
Инженер DevOps - стажер,[0],МТС Банк. Начало Карьеры,15-01-2024 06:19:44,"Стажировка, полный день",[],,
Программист,"[1, 3]",Weborama Russia,15-01-2024 06:19:44,"Полная занятость, полный день","['SQL', 'Git', 'Python', 'MySQL', 'PostgreSQL', 'Redis', 'PHP', 'Linux', 'ClickHouse']",,
Python-разработчик в Рег.облако,"[1, 3]",Рунити,15-01-2024 06:19:44,"Полная занятость, удаленная работа",[],,
"Аналитик данных / Data scientist, удаленно","[1, 3]",ВкусВилл. Офис,15-01-2024 06:19:44,"Полная занятость, удаленная работа",[],,
Middle Frontend Developer (React),"[3, 6]",ООО Амига,15-01-2024 06:19:44,"Полная занятость, полный день",[],,
Junior Analyst (Младший Аналитик),[0],OptiTeam,15-01-2024 06:19:44,"Полная занятость, полный день",[],,
Python developer (remote),"[1, 3]",ООО Анлимитед Продакшен,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['Python', 'Linux', 'Redis', 'Git', 'FastAPI']",,
Python-разработчик (Django),"[1, 3]",Heaad,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['Python', 'Django', 'Docker', 'REST API', 'Git', 'Backend', 'Fullstack', 'Верстка', 'Kafka', 'API']",250000.0,
Junior Data Scientist,"[1, 3]",ООО Форк ИТ,15-01-2024 06:19:44,"Полная занятость, удаленная работа",[],,
